[23/01/2020 00:18:01] {'params': [1.9563989241781057, 10.386413398379357, 449.8700153287518], 'fit': 194, 'value': 0.002457608658443953, 'time': 0.05625}
[23/01/2020 00:35:07] {'params': [1.9563989241781057, 10.386413398379357, 449.8700153287518], 'fit': 194, 'value': 0.002457608658443953, 'time': 0.05625}
[23/01/2020 00:51:51] {'params': [1.0756095057901491, 10.856048554746435, 437.36949221357315], 'fit': 195, 'value': 0.002066689662111535, 'time': 0.05}
[23/01/2020 01:10:16] {'params': [1.0756095057901491, 10.856048554746435, 437.36949221357315], 'fit': 195, 'value': 0.002066689662111535, 'time': 0.05}
[23/01/2020 01:27:25] {'params': [1.0756095057901491, 10.856048554746435, 437.36949221357315], 'fit': 195, 'value': 0.002066689662111535, 'time': 0.05}
[23/01/2020 01:44:04] {'params': [1.0756095057901491, 10.856048554746435, 437.36949221357315], 'fit': 195, 'value': 0.002066689662111535, 'time': 0.05}
[23/01/2020 02:01:18] {'params': [1.0756095057901491, 10.856048554746435, 437.36949221357315], 'fit': 195, 'value': 0.002066689662111535, 'time': 0.05}
[23/01/2020 02:18:19] {'params': [1.0756095057901491, 10.856048554746435, 437.36949221357315], 'fit': 195, 'value': 0.002066689662111535, 'time': 0.05}
[23/01/2020 02:35:30] {'params': [1.0756095057901491, 10.856048554746435, 437.36949221357315], 'fit': 195, 'value': 0.002066689662111535, 'time': 0.05}
[23/01/2020 02:53:05] {'params': [1.0756095057901491, 10.856048554746435, 437.36949221357315], 'fit': 195, 'value': 0.002066689662111535, 'time': 0.05}
[23/01/2020 03:10:28] {'params': [1.8850958267933937, 12.045446742849617, 384.73164846455376], 'fit': 198, 'value': 0.002102807384602299, 'time': 0.059375}
[23/01/2020 03:27:48] {'params': [1.8850958267933937, 12.045446742849617, 384.73164846455376], 'fit': 198, 'value': 0.002102807384602299, 'time': 0.059375}
[23/01/2020 03:44:37] {'params': [1.8850958267933937, 12.045446742849617, 384.73164846455376], 'fit': 198, 'value': 0.002102807384602299, 'time': 0.059375}
[23/01/2020 04:00:30] {'params': [1.8850958267933937, 12.045446742849617, 384.73164846455376], 'fit': 198, 'value': 0.002102807384602299, 'time': 0.059375}
[23/01/2020 04:17:49] {'params': [1.8850958267933937, 12.045446742849617, 384.73164846455376], 'fit': 198, 'value': 0.002102807384602299, 'time': 0.059375}
[23/01/2020 04:34:54] {'params': [1.8850958267933937, 12.045446742849617, 384.73164846455376], 'fit': 198, 'value': 0.002102807384602299, 'time': 0.059375}
[23/01/2020 04:51:32] {'params': [1.8850958267933937, 12.045446742849617, 384.73164846455376], 'fit': 198, 'value': 0.002102807384602299, 'time': 0.059375}
[23/01/2020 05:07:48] {'params': [1.8850958267933937, 12.045446742849617, 384.73164846455376], 'fit': 198, 'value': 0.002102807384602299, 'time': 0.059375}
[23/01/2020 05:24:55] {'params': [1.8850958267933937, 12.045446742849617, 384.73164846455376], 'fit': 198, 'value': 0.002102807384602299, 'time': 0.059375}
[23/01/2020 05:41:29] {'params': [1.8850958267933937, 12.045446742849617, 384.73164846455376], 'fit': 198, 'value': 0.002102807384602299, 'time': 0.059375}
[23/01/2020 05:58:24] {'params': [1.8850958267933937, 12.045446742849617, 384.73164846455376], 'fit': 198, 'value': 0.002102807384602299, 'time': 0.059375}
[23/01/2020 06:14:29] {'params': [1.8850958267933937, 12.045446742849617, 384.73164846455376], 'fit': 198, 'value': 0.002102807384602299, 'time': 0.059375}
[23/01/2020 06:30:42] {'params': [1.8850958267933937, 12.045446742849617, 384.73164846455376], 'fit': 198, 'value': 0.002102807384602299, 'time': 0.059375}
[23/01/2020 06:48:00] {'params': [1.8850958267933937, 12.045446742849617, 384.73164846455376], 'fit': 198, 'value': 0.002102807384602299, 'time': 0.059375}
[23/01/2020 07:04:57] {'params': [1.8850958267933937, 12.045446742849617, 384.73164846455376], 'fit': 198, 'value': 0.002102807384602299, 'time': 0.059375}
[23/01/2020 07:21:24] {'params': [1.8850958267933937, 12.045446742849617, 384.73164846455376], 'fit': 198, 'value': 0.002102807384602299, 'time': 0.059375}
[23/01/2020 07:38:47] {'params': [1.8850958267933937, 12.045446742849617, 384.73164846455376], 'fit': 198, 'value': 0.002102807384602299, 'time': 0.059375}
[23/01/2020 07:55:33] {'params': [1.8850958267933937, 12.045446742849617, 384.73164846455376], 'fit': 198, 'value': 0.002102807384602299, 'time': 0.059375}
[23/01/2020 08:11:49] {'params': [1.8850958267933937, 12.045446742849617, 384.73164846455376], 'fit': 198, 'value': 0.002102807384602299, 'time': 0.059375}
[23/01/2020 08:27:33] {'params': [1.8850958267933937, 12.045446742849617, 384.73164846455376], 'fit': 198, 'value': 0.002102807384602299, 'time': 0.059375}
[23/01/2020 08:43:41] {'params': [1.8850958267933937, 12.045446742849617, 384.73164846455376], 'fit': 198, 'value': 0.002102807384602299, 'time': 0.059375}
[23/01/2020 08:59:10] {'params': [1.8850958267933937, 12.045446742849617, 384.73164846455376], 'fit': 198, 'value': 0.002102807384602299, 'time': 0.059375}
[23/01/2020 09:15:32] {'params': [1.8850958267933937, 12.045446742849617, 384.73164846455376], 'fit': 198, 'value': 0.002102807384602299, 'time': 0.059375}
[23/01/2020 09:31:57] {'params': [1.8850958267933937, 12.045446742849617, 384.73164846455376], 'fit': 198, 'value': 0.002102807384602299, 'time': 0.059375}
[23/01/2020 09:48:19] {'params': [1.8850958267933937, 12.045446742849617, 384.73164846455376], 'fit': 198, 'value': 0.002102807384602299, 'time': 0.059375}
[23/01/2020 10:04:51] {'params': [1.8850958267933937, 12.045446742849617, 384.73164846455376], 'fit': 198, 'value': 0.002102807384602299, 'time': 0.059375}
[23/01/2020 10:21:13] {'params': [1.8850958267933937, 12.045446742849617, 384.73164846455376], 'fit': 198, 'value': 0.002102807384602299, 'time': 0.059375}
[23/01/2020 10:38:01] {'params': [1.8850958267933937, 12.045446742849617, 384.73164846455376], 'fit': 198, 'value': 0.002102807384602299, 'time': 0.059375}
[23/01/2020 10:53:17] {'params': [1.8850958267933937, 12.045446742849617, 384.73164846455376], 'fit': 198, 'value': 0.002102807384602299, 'time': 0.059375}
[23/01/2020 11:08:32] {'params': [1.8850958267933937, 12.045446742849617, 384.73164846455376], 'fit': 198, 'value': 0.002102807384602299, 'time': 0.059375}
[23/01/2020 11:24:22] {'params': [1.8850958267933937, 12.045446742849617, 384.73164846455376], 'fit': 198, 'value': 0.002102807384602299, 'time': 0.059375}
[23/01/2020 11:41:25] {'params': [1.8850958267933937, 12.045446742849617, 384.73164846455376], 'fit': 198, 'value': 0.002102807384602299, 'time': 0.059375}
[23/01/2020 11:57:50] {'params': [1.8850958267933937, 12.045446742849617, 384.73164846455376], 'fit': 198, 'value': 0.002102807384602299, 'time': 0.059375}
[23/01/2020 12:13:45] {'params': [1.8850958267933937, 12.045446742849617, 384.73164846455376], 'fit': 198, 'value': 0.002102807384602299, 'time': 0.059375}
[23/01/2020 12:30:45] {'params': [1.8850958267933937, 12.045446742849617, 384.73164846455376], 'fit': 198, 'value': 0.002102807384602299, 'time': 0.059375}
[23/01/2020 12:47:03] {'params': [1.8850958267933937, 12.045446742849617, 384.73164846455376], 'fit': 198, 'value': 0.002102807384602299, 'time': 0.059375}
[23/01/2020 13:02:47] {'params': [1.8850958267933937, 12.045446742849617, 384.73164846455376], 'fit': 198, 'value': 0.002102807384602299, 'time': 0.059375}
[23/01/2020 13:17:51] {'params': [1.8850958267933937, 12.045446742849617, 384.73164846455376], 'fit': 198, 'value': 0.002102807384602299, 'time': 0.059375}
[23/01/2020 13:32:45] {'params': [1.8850958267933937, 12.045446742849617, 384.73164846455376], 'fit': 198, 'value': 0.002102807384602299, 'time': 0.059375}
[23/01/2020 13:48:56] {'params': [1.8850958267933937, 12.045446742849617, 384.73164846455376], 'fit': 198, 'value': 0.002102807384602299, 'time': 0.059375}
[23/01/2020 14:04:52] {'params': [1.8850958267933937, 12.045446742849617, 384.73164846455376], 'fit': 198, 'value': 0.002102807384602299, 'time': 0.059375}
