{'d1': 3.793042655075899, 'd2': 170}
{'d1': 3.4613236243570893, 'd2': 87}
{'d1': 4.323997282915455, 'd2': 168}
{'d1': 1.0724841086217132, 'd2': 85}
{'d1': 3.688777971660615, 'd2': 187}
{'d1': 1.092865728696723, 'd2': 38}
{'d1': 1.2509146053595432, 'd2': 130}
{'d1': 1.071189585959669, 'd2': 93}
{'d1': 4.17152713970269, 'd2': 87}
{'d1': 1.226915861781474, 'd2': 6}
{'d1': 1.1474778636592848, 'd2': 163}
{'d1': 2.047352783932527, 'd2': 104}
{'d1': 1.0060279617689991, 'd2': 37}
{'d1': 1.1751091444249064, 'd2': 95}
{'d1': 1.0292099565498252, 'd2': 163}
{'d1': 1.367975752660811, 'd2': 131}
{'d1': 1.2829756164745714, 'd2': 96}
{'d1': 3.3395309994682085, 'd2': 12}
{'d1': 1.0343005168456878, 'd2': 135}
{'d1': 4.079946586629285, 'd2': 93}
{'d1': 1.634144998859615, 'd2': 176}
{'d1': 3.2304074763826, 'd2': 81}
{'d1': 3.340161438924652, 'd2': 88}
{'d1': 2.1361003399060565, 'd2': 199}
{'d1': 1.1429245655425144, 'd2': 141}
{'d1': 3.6784738358431115, 'd2': 49}
{'d1': 1.1812733192293092, 'd2': 101}
{'d1': 3.9752904998155345, 'd2': 170}
{'d1': 3.066840351452995, 'd2': 93}
{'d1': 1.4562258541314266, 'd2': 97}
{'d1': 3.2746825561892896, 'd2': 167}
{'d1': 3.3191392987609762, 'd2': 168}
{'d1': 1.745548418297254, 'd2': 126}
{'d1': 1.387491294992353, 'd2': 177}
{'d1': 1.1555019353442832, 'd2': 169}
{'d1': 1.0024158661860583, 'd2': 125}
{'d1': 4.06767666875234, 'd2': 150}
{'d1': 1.2224928939674071, 'd2': 135}
{'d1': 1.2743852548883927, 'd2': 192}
{'d1': 1.3782834735868366, 'd2': 153}
{'d1': 3.0722368457602354, 'd2': 200}
{'d1': 1.1152614646671346, 'd2': 101}
{'d1': 1.125031959356893, 'd2': 53}
{'d1': 2.459613876272649, 'd2': 180}
{'d1': 1.357838267354849, 'd2': 196}
{'d1': 1.3007039410387846, 'd2': 41}
{'d1': 1.2029679322988538, 'd2': 113}
{'d1': 1.0416749047442477, 'd2': 197}
{'d1': 1.0316742396665912, 'd2': 79}
{'d1': 1.4711424740314167, 'd2': 188}
{'d1': 1.093842081316534, 'd2': 21}
{'d1': 1.4788690577474348, 'd2': 137}
{'d1': 4.221979486768152, 'd2': 52}
{'d1': 1.4113598020657099, 'd2': 193}
{'d1': 1.41350288132202, 'd2': 180}
{'d1': 1.449790092740656, 'd2': 133}
{'d1': 1.4905686425789824, 'd2': 137}
{'d1': 4.445941720614003, 'd2': 95}
{'d1': 1.149860443160958, 'd2': 174}
{'d1': 1.1402186010159396, 'd2': 91}
{'d1': 1.1109908607108068, 'd2': 170}
{'d1': 1.0652089631634198, 'd2': 81}
{'d1': 1.1079682042748884, 'd2': 95}
{'d1': 1.1095679584999756, 'd2': 97}
{'d1': 1.387126525463814, 'd2': 182}
{'d1': 1.142249277093375, 'd2': 97}
{'d1': 1.2428615209248965, 'd2': 85}
{'d1': 1.1113018161457133, 'd2': 29}
{'d1': 1.0179646352939205, 'd2': 27}
{'d1': 1.160019957550297, 'd2': 49}
{'d1': 1.4168746740195557, 'd2': 121}
{'d1': 3.110512100027922, 'd2': 141}
{'d1': 1.4948525079099786, 'd2': 97}
{'d1': 1.1205772105900573, 'd2': 69}
{'d1': 1.224211720410552, 'd2': 102}
{'d1': 4.163307155011462, 'd2': 169}
{'d1': 1.030965849286634, 'd2': 83}
{'d1': 3.3532309821450443, 'd2': 196}
{'d1': 1.3605639549472859, 'd2': 140}
{'d1': 1.2966934123943086, 'd2': 194}
{'d1': 1.4561152925878948, 'd2': 16}
{'d1': 1.163436181430539, 'd2': 178}
{'d1': 4.098356974648794, 'd2': 186}
{'d1': 1.8248241614275729, 'd2': 96}
{'d1': 1.1585003649428123, 'd2': 187}
{'d1': 1.225506585400721, 'd2': 121}
{'d1': 1.9072760376540887, 'd2': 38}
{'d1': 1.1428287385836784, 'd2': 65}
{'d1': 1.4260390957312374, 'd2': 168}
{'d1': 1.3059763410025205, 'd2': 88}
{'d1': 1.208729540158116, 'd2': 182}
{'d1': 3.3711470509779526, 'd2': 182}
{'d1': 3.2287258577972153, 'd2': 94}
{'d1': 3.435612626149947, 'd2': 82}
{'d1': 1.3980798135050754, 'd2': 170}
{'d1': 1.4544146099999682, 'd2': 100}
{'d1': 1.2075487639244264, 'd2': 175}
{'d1': 1.0325325167838988, 'd2': 101}
{'d1': 1.1920631429087687, 'd2': 188}
{'d1': 1.0444909141387215, 'd2': 169}
{'d1': 1.2657987628688399, 'd2': 85}
{'d1': 1.6871089507953638, 'd2': 98}
{'d1': 1.6658015079524606, 'd2': 118}
{'d1': 3.307479758421176, 'd2': 171}
{'d1': 1.3386750507082072, 'd2': 182}
{'d1': 4.310597908435138, 'd2': 69}
{'d1': 1.2919108124116976, 'd2': 198}
{'d1': 1.0622511402019459, 'd2': 197}
{'d1': 1.4674957547971132, 'd2': 140}
{'d1': 1.2415992914413634, 'd2': 90}
{'d1': 2.212650785783558, 'd2': 174}
{'d1': 1.076077809639278, 'd2': 100}
{'d1': 3.4228902607584035, 'd2': 26}
{'d1': 3.5133805613561164, 'd2': 172}
{'d1': 1.233899028875124, 'd2': 162}
{'d1': 3.9588252466522826, 'd2': 114}
{'d1': 3.235403729431165, 'd2': 89}
{'d1': 1.2868593032667934, 'd2': 105}
{'d1': 1.3727429670190336, 'd2': 89}
{'d1': 1.3014647036622, 'd2': 181}
{'d1': 4.123217259146055, 'd2': 89}
{'d1': 1.1129507642514853, 'd2': 91}
{'d1': 1.0433515074759399, 'd2': 83}
{'d1': 1.428058967659733, 'd2': 159}
{'d1': 3.6438353938926182, 'd2': 48}
{'d1': 1.24884873985673, 'd2': 88}
{'d1': 1.3428243573961014, 'd2': 189}
{'d1': 1.1031523917948483, 'd2': 85}
{'d1': 1.0255003390608608, 'd2': 175}
{'d1': 1.5839077991821353, 'd2': 39}
{'d1': 1.155659095460146, 'd2': 173}
{'d1': 1.2364725320168761, 'd2': 104}
{'d1': 1.0389990652175687, 'd2': 174}
{'d1': 1.2854403387306195, 'd2': 154}
{'d1': 1.1817280223545628, 'd2': 90}
{'d1': 1.0586081492450539, 'd2': 89}
{'d1': 1.0779373704299233, 'd2': 90}
{'d1': 1.089010822827925, 'd2': 91}
{'d1': 1.1722633539362786, 'd2': 165}
{'d1': 1.305342480330084, 'd2': 35}
{'d1': 1.228462827233525, 'd2': 181}
{'d1': 2.217782872838921, 'd2': 163}
{'d1': 1.4898653010268648, 'd2': 176}
{'d1': 1.251670367191658, 'd2': 93}
{'d1': 1.3330838161406708, 'd2': 91}
{'d1': 1.0282450497061117, 'd2': 85}
{'d1': 1.3039115367846656, 'd2': 192}
{'d1': 1.2993696391474547, 'd2': 178}
{'d1': 1.0086115753366591, 'd2': 105}
{'d1': 1.3567494968929599, 'd2': 111}
{'d1': 1.1834764283666415, 'd2': 95}
{'d1': 1.2675762127788934, 'd2': 97}
{'d1': 1.309203101138392, 'd2': 185}
{'d1': 1.3408202534200508, 'd2': 125}
{'d1': 1.280347733209717, 'd2': 129}
{'d1': 1.1564061202968303, 'd2': 33}
{'d1': 3.127513341473317, 'd2': 124}
{'d1': 1.1856386086809847, 'd2': 91}
{'d1': 1.5822185173426502, 'd2': 98}
{'d1': 1.9185494768070772, 'd2': 113}
{'d1': 4.205082406247769, 'd2': 83}
{'d1': 1.4722793423605065, 'd2': 89}
{'d1': 1.4414398608316519, 'd2': 196}
{'d1': 1.5388784331828076, 'd2': 89}
{'d1': 1.4410240102348368, 'd2': 101}
{'d1': 1.8548404738789677, 'd2': 122}
{'d1': 1.321756684560346, 'd2': 135}
{'d1': 1.4407399235426157, 'd2': 81}
{'d1': 1.3956043526220179, 'd2': 93}
{'d1': 1.1773162811734095, 'd2': 127}
{'d1': 1.26549060029263, 'd2': 179}
{'d1': 1.3014104860512297, 'd2': 125}
{'d1': 3.0744077202528017, 'd2': 58}
{'d1': 1.1747700706972164, 'd2': 193}
{'d1': 1.0838486881664653, 'd2': 193}
{'d1': 1.2052222242637207, 'd2': 23}
{'d1': 1.1099128827577487, 'd2': 131}
{'d1': 1.0364269038169853, 'd2': 155}
{'d1': 0.9995986691258247, 'd2': 99}
{'d1': 1.2883175434199057, 'd2': 99}
{'d1': 2.1884465558314665, 'd2': 199}
{'d1': 1.2916547219237735, 'd2': 181}
{'d1': 1.1673860470186603, 'd2': 151}
{'d1': 1.3218451013774053, 'd2': 164}
{'d1': 1.4453868640466516, 'd2': 185}
{'d1': 1.399135346707871, 'd2': 90}
{'d1': 1.5452099275970312, 'd2': 7}
{'d1': 1.108307252009613, 'd2': 99}
{'d1': 1.38732219938792, 'd2': 165}
{'d1': 3.16243713989153, 'd2': 111}
{'d1': 1.093107765155003, 'd2': 99}
{'d1': 1.1967456293291128, 'd2': 181}
{'d1': 1.413410868317294, 'd2': 126}
{'d1': 3.2740608667109603, 'd2': 178}
{'d1': 1.9258669745345518, 'd2': 167}
{'d1': 1.3379264753722893, 'd2': 141}
{'d1': 1.058843072004093, 'd2': 185}
{'d1': 2.1594019201374466, 'd2': 83}
{'d1': 1.2854457006028766, 'd2': 119}
{'d1': 1.095963122484943, 'd2': 191}
{'d1': 1.3438235595550345, 'd2': 192}
{'d1': 1.4334202724627316, 'd2': 86}
