[16/12/2019 02:57:54] {'params': [3.744618906149665, 35.32455293477232], 'value': 0.6664224868788629, 'time': 1.59375}
[16/12/2019 02:59:47] {'params': [3.744618906149665, 35.32455293477232], 'value': 0.6664224868788629, 'time': 1.59375}
[16/12/2019 03:01:35] {'params': [1.1632885936024107, 84.48154111700588], 'value': 0.9936586592315102, 'time': 0.6640625}
[16/12/2019 03:03:20] {'params': [1.2409453606674632, 83.48456096347773], 'value': 0.994603140594656, 'time': 0.4453125}
[16/12/2019 03:05:12] {'params': [1.2409453606674632, 83.48456096347773], 'value': 0.994603140594656, 'time': 0.4453125}
[16/12/2019 03:07:00] {'params': [1.2409453606674632, 83.48456096347773], 'value': 0.994603140594656, 'time': 0.4453125}
[16/12/2019 03:08:41] {'params': [1.075636686651848, 82.98546681550634], 'value': 0.9923566193964324, 'time': 0.3828125}
[16/12/2019 03:10:29] {'params': [1.075636686651848, 82.98546681550634], 'value': 0.9923566193964324, 'time': 0.3828125}
[16/12/2019 03:12:10] {'params': [1.075636686651848, 82.98546681550634], 'value': 0.9923566193964324, 'time': 0.3828125}
[16/12/2019 03:13:55] {'params': [1.075636686651848, 82.98546681550634], 'value': 0.9923566193964324, 'time': 0.3828125}
[16/12/2019 03:15:44] {'params': [1.075636686651848, 82.98546681550634], 'value': 0.9923566193964324, 'time': 0.3828125}
[16/12/2019 03:17:31] {'params': [1.075636686651848, 82.98546681550634], 'value': 0.9923566193964324, 'time': 0.3828125}
[16/12/2019 03:19:21] {'params': [1.075636686651848, 82.98546681550634], 'value': 0.9923566193964324, 'time': 0.3828125}
[16/12/2019 03:20:57] {'params': [1.075636686651848, 82.98546681550634], 'value': 0.9923566193964324, 'time': 0.3828125}
[16/12/2019 03:22:33] {'params': [1.075636686651848, 82.98546681550634], 'value': 0.9923566193964324, 'time': 0.3828125}
[16/12/2019 03:24:11] {'params': [1.075636686651848, 82.98546681550634], 'value': 0.9923566193964324, 'time': 0.3828125}
[16/12/2019 03:25:51] {'params': [1.075636686651848, 82.98546681550634], 'value': 0.9923566193964324, 'time': 0.3828125}
[16/12/2019 03:27:34] {'params': [1.075636686651848, 82.98546681550634], 'value': 0.9923566193964324, 'time': 0.3828125}
[16/12/2019 03:29:04] {'params': [1.075636686651848, 82.98546681550634], 'value': 0.9923566193964324, 'time': 0.3828125}
[16/12/2019 03:30:39] {'params': [1.0873172891746117, 84.77139114038643], 'value': 0.9933669280958441, 'time': 0.3515625}
[16/12/2019 03:32:07] {'params': [1.6384695867947487, 93.0976883909101], 'value': 0.9945110949622521, 'time': 0.109375}
[16/12/2019 03:33:46] {'params': [1.6384695867947487, 93.0976883909101], 'value': 0.9945110949622521, 'time': 0.109375}
[16/12/2019 03:35:08] {'params': [1.6384695867947487, 93.0976883909101], 'value': 0.9945110949622521, 'time': 0.109375}
[16/12/2019 03:36:42] {'params': [1.6384695867947487, 93.0976883909101], 'value': 0.9945110949622521, 'time': 0.109375}
[16/12/2019 03:38:05] {'params': [1.6384695867947487, 93.0976883909101], 'value': 0.9945110949622521, 'time': 0.109375}
[16/12/2019 03:39:30] {'params': [1.6384695867947487, 93.0976883909101], 'value': 0.9945110949622521, 'time': 0.109375}
[16/12/2019 03:40:51] {'params': [1.6384695867947487, 93.0976883909101], 'value': 0.9945110949622521, 'time': 0.109375}
[16/12/2019 03:42:07] {'params': [1.6384695867947487, 93.0976883909101], 'value': 0.9945110949622521, 'time': 0.109375}
[16/12/2019 03:43:26] {'params': [1.6384695867947487, 93.0976883909101], 'value': 0.9945110949622521, 'time': 0.109375}
[16/12/2019 03:45:02] {'params': [1.6384695867947487, 93.0976883909101], 'value': 0.9945110949622521, 'time': 0.109375}
[16/12/2019 03:46:22] {'params': [1.6384695867947487, 93.0976883909101], 'value': 0.9945110949622521, 'time': 0.109375}
[16/12/2019 03:47:48] {'params': [1.6384695867947487, 93.0976883909101], 'value': 0.9945110949622521, 'time': 0.109375}
[16/12/2019 03:49:28] {'params': [1.6384695867947487, 93.0976883909101], 'value': 0.9945110949622521, 'time': 0.109375}
