[22/01/2020 04:33:10] {'params': [1.6220874761314423, 58.078141551199984, 828.6072916657487], 'fit': 195, 'value': 0.0021464076527288036, 'time': 0.64375}
[22/01/2020 04:59:55] {'params': [1.6864481986488815, 45.49600760354845, 805.3066472448421], 'fit': 196, 'value': 0.00251419794078392, 'time': 0.6625}
[22/01/2020 05:26:26] {'params': [1.6864481986488815, 45.49600760354845, 805.3066472448421], 'fit': 196, 'value': 0.00251419794078392, 'time': 0.6625}
[22/01/2020 05:53:46] {'params': [1.6864481986488815, 45.49600760354845, 805.3066472448421], 'fit': 196, 'value': 0.00251419794078392, 'time': 0.6625}
[22/01/2020 06:20:47] {'params': [1.6864481986488815, 45.49600760354845, 805.3066472448421], 'fit': 196, 'value': 0.00251419794078392, 'time': 0.6625}
[22/01/2020 06:48:12] {'params': [1.6864481986488815, 45.49600760354845, 805.3066472448421], 'fit': 196, 'value': 0.00251419794078392, 'time': 0.6625}
[22/01/2020 07:14:32] {'params': [1.6864481986488815, 45.49600760354845, 805.3066472448421], 'fit': 196, 'value': 0.00251419794078392, 'time': 0.6625}
[22/01/2020 07:40:48] {'params': [1.6864481986488815, 45.49600760354845, 805.3066472448421], 'fit': 196, 'value': 0.00251419794078392, 'time': 0.6625}
[22/01/2020 08:07:29] {'params': [1.6864481986488815, 45.49600760354845, 805.3066472448421], 'fit': 196, 'value': 0.00251419794078392, 'time': 0.6625}
[22/01/2020 08:34:03] {'params': [1.6864481986488815, 45.49600760354845, 805.3066472448421], 'fit': 196, 'value': 0.00251419794078392, 'time': 0.6625}
[22/01/2020 09:00:30] {'params': [1.6864481986488815, 45.49600760354845, 805.3066472448421], 'fit': 196, 'value': 0.00251419794078392, 'time': 0.6625}
[22/01/2020 09:27:36] {'params': [1.6864481986488815, 45.49600760354845, 805.3066472448421], 'fit': 196, 'value': 0.00251419794078392, 'time': 0.6625}
[22/01/2020 09:54:01] {'params': [1.6864481986488815, 45.49600760354845, 805.3066472448421], 'fit': 196, 'value': 0.00251419794078392, 'time': 0.6625}
[22/01/2020 10:20:30] {'params': [1.6864481986488815, 45.49600760354845, 805.3066472448421], 'fit': 196, 'value': 0.00251419794078392, 'time': 0.6625}
[22/01/2020 10:46:52] {'params': [1.6864481986488815, 45.49600760354845, 805.3066472448421], 'fit': 196, 'value': 0.00251419794078392, 'time': 0.6625}
[22/01/2020 11:13:26] {'params': [1.6864481986488815, 45.49600760354845, 805.3066472448421], 'fit': 196, 'value': 0.00251419794078392, 'time': 0.6625}
[22/01/2020 11:39:39] {'params': [1.6864481986488815, 45.49600760354845, 805.3066472448421], 'fit': 196, 'value': 0.00251419794078392, 'time': 0.6625}
[22/01/2020 12:06:41] {'params': [1.6864481986488815, 45.49600760354845, 805.3066472448421], 'fit': 196, 'value': 0.00251419794078392, 'time': 0.6625}
[22/01/2020 12:33:51] {'params': [1.6864481986488815, 45.49600760354845, 805.3066472448421], 'fit': 196, 'value': 0.00251419794078392, 'time': 0.6625}
[22/01/2020 12:59:55] {'params': [1.6864481986488815, 45.49600760354845, 805.3066472448421], 'fit': 196, 'value': 0.00251419794078392, 'time': 0.6625}
[22/01/2020 13:25:56] {'params': [1.6864481986488815, 45.49600760354845, 805.3066472448421], 'fit': 196, 'value': 0.00251419794078392, 'time': 0.6625}
[22/01/2020 13:51:50] {'params': [1.6864481986488815, 45.49600760354845, 805.3066472448421], 'fit': 196, 'value': 0.00251419794078392, 'time': 0.6625}
[22/01/2020 14:19:06] {'params': [1.6864481986488815, 45.49600760354845, 805.3066472448421], 'fit': 196, 'value': 0.00251419794078392, 'time': 0.6625}
[22/01/2020 14:45:46] {'params': [1.6864481986488815, 45.49600760354845, 805.3066472448421], 'fit': 196, 'value': 0.00251419794078392, 'time': 0.6625}
[22/01/2020 15:12:09] {'params': [1.6864481986488815, 45.49600760354845, 805.3066472448421], 'fit': 196, 'value': 0.00251419794078392, 'time': 0.6625}
[22/01/2020 15:38:27] {'params': [1.6864481986488815, 45.49600760354845, 805.3066472448421], 'fit': 196, 'value': 0.00251419794078392, 'time': 0.6625}
[22/01/2020 16:04:52] {'params': [1.6864481986488815, 45.49600760354845, 805.3066472448421], 'fit': 196, 'value': 0.00251419794078392, 'time': 0.6625}
[22/01/2020 16:31:40] {'params': [1.6864481986488815, 45.49600760354845, 805.3066472448421], 'fit': 196, 'value': 0.00251419794078392, 'time': 0.6625}
[22/01/2020 16:58:42] {'params': [1.6864481986488815, 45.49600760354845, 805.3066472448421], 'fit': 196, 'value': 0.00251419794078392, 'time': 0.6625}
[22/01/2020 17:25:26] {'params': [1.6864481986488815, 45.49600760354845, 805.3066472448421], 'fit': 196, 'value': 0.00251419794078392, 'time': 0.6625}
[22/01/2020 17:52:10] {'params': [1.6864481986488815, 45.49600760354845, 805.3066472448421], 'fit': 196, 'value': 0.00251419794078392, 'time': 0.6625}
[22/01/2020 18:17:52] {'params': [1.6864481986488815, 45.49600760354845, 805.3066472448421], 'fit': 196, 'value': 0.00251419794078392, 'time': 0.6625}
[22/01/2020 18:44:18] {'params': [1.6864481986488815, 45.49600760354845, 805.3066472448421], 'fit': 196, 'value': 0.00251419794078392, 'time': 0.6625}
[22/01/2020 19:10:53] {'params': [1.6864481986488815, 45.49600760354845, 805.3066472448421], 'fit': 196, 'value': 0.00251419794078392, 'time': 0.6625}
[22/01/2020 19:36:55] {'params': [1.6864481986488815, 45.49600760354845, 805.3066472448421], 'fit': 196, 'value': 0.00251419794078392, 'time': 0.6625}
